bhk,price,area,location,status
4.0,9200000.0,1665,"Mukund Majesty Phase A 1, Salaiya Bhopal",Unknown
3.0,15500000.0,2119,"Shilpi Eco Towers, Shilpi Eco Towers, Bawadiya Kalan, Bhopal",Ready to Move
4.0,12500000.0,2400,"Chetanya Grandeur Heights, Chetanya Grandeur Heights, Bawadiya Kalan, Bhopal",Unknown
3.0,12600000.0,1920,"Regal Royal Garden, Awadhpuri Bhopal",Unknown
3.0,4730000.0,2025,"Aryavrat British Park, Aryavrat British Park, Hoshangabad Road, Bhopal",Ready to Move
4.0,11700000.0,2255,"Dream Heights, Dream Heights, Bawadiya Kalan, Bhopal",Unknown
6.0,80000000.0,4000,"Sage Prestige, Bawadiya Kalan Bhopal",Unknown
3.0,9000000.0,1472,"Salaiya, Bhopal",Unknown
3.0,3400000.0,1400,"arr Dream CT, Hoshangabad Road, Bhopal",Ready to Move
5.0,69400000.0,5500,"Shree Golden City, Hoshangabad Road Bhopal",Ready to Move
3.0,4500000.0,1100,"g Globe Grand, Hoshangabad Road, Bhopal",Ready to Move
7.0,30000000.0,3800,Idgah Hills Bhopal,Ready to Move
4.0,19200000.0,1600,Kohefiza Bhopal,Ready to Move
3.0,9500000.0,2100,Bagli Village Bhopal,Ready to Move
4.0,9900000.0,1950,Kolar Road Bhopal,Unknown
3.0,3600000.0,945,"Silver Estate Vertica, Silver Estate Vertica, Katara Hills, Bhopal",Ready to Move
2.0,2300000.0,1050,"Karond road, Bhopal",Ready to Move
2.0,2700000.0,750,"i Kirti Apartment, Indrapuri, Bhopal",Ready to Move
4.0,17500000.0,3000,"virasha height, virasha height, Bawadiya Kalan, Bhopal",Ready to Move
4.0,9000000.0,2000,"Ishaan Grand Estate, Hoshangabad Road Bhopal",Unknown
4.0,18500000.0,2350,Chunabhatti Bhopal,Ready to Move
7.0,49000000.0,6500,Shahpura Bhopal,Ready to Move
2.0,9000000.0,800,Shri Ram Colony Bhopal,Ready to Move
2.0,2550000.0,800,"e City 2, Misrod, Bhopal",Ready to Move
4.0,15500000.0,2800,al Residency Bhopal,Ready to Move
3.0,2800000.0,1000,"Kolar, Bhopal",Ready to Move
4.0,19000000.0,1533,"DK 24 Carat, DK 24 Carat, Bawadiya Kalan, Bhopal",Ready to Move
3.0,11399999.999999998,1805,"CI Grand, Kolar Road Bhopal",Unknown
3.0,8000000.0,2065,"Urban River Urban Heights, Urban River Urban Heights, Salaiya, Bhopal",Unknown
3.0,18500000.0,2300,"Hill View, Kolar Road Bhopal",Unknown
4.0,19500000.0,2950,"Rishi Coral Wood Bungalows, Hoshangabad Road Bhopal",Ready to Move
4.0,10000000.0,1500,Salaiya Bhopal,Ready to Move
3.0,3200000.0,960,"Parke Serene, Parke Serene, Bawaria Kalan, Bhopal",Ready to Move
2.0,3800000.0,700,"Agrawal Sagar Lakeview Homes, Agrawal Sagar Lakeview Homes, Ayodhya Bypass, Bhopal",Ready to Move
3.0,4500000.0,1196,"Soumya Evergreen, Soumya Evergreen, Chuna Bhatti, Bhopal",Ready to Move
3.0,6000000.0,900,"Bagh Mungaliya, Bhopal",Ready to Move
2.0,3500000.0,850,"Nirupam Royal Palms, Nirupam Royal Palms, Hoshangabad Road, Bhopal",Ready to Move
1.0,2500000.0,600,Lambakheda Bhopal,Ready to Move
4.0,18000000.0,1350,Gulmohar Colony Bhopal,Ready to Move
3.0,6500000.0,1250,"Rudraksh Kasturi, Rudraksh Kasturi, Hoshangabad Road, Bhopal",Ready to Move
2.0,6000000.0,1100,Rishipuram Bhopal,Ready to Move
4.0,12500000.0,2360,"Ruchi Lifescapes, Hoshangabad Road Bhopal",Ready to Move
3.0,12500000.0,1800,"e Jewel, Kolar Road Bhopal",Ready to Move
4.0,8000000.0,1900,Airport Road Bhopal,Ready to Move
3.0,6500000.0,1150,Kolar Road Bhopal,Ready to Move
1.0,22700000.0,4219,Idgah Hills Bhopal,Unknown
4.0,12000000.0,2400,Salaiya Bhopal,Ready to Move
4.0,35000000.0,1450,New Market Bhopal,Ready to Move
2.0,2500000.0,870,"Centurion Sky, Centurion Sky, Katara, Bhopal",Ready to Move
4.0,12500000.0,2200,"Sage Heritage, E8 Bhopal",Ready to Move
3.0,6800000.0,1500,"virasha height, virasha height, Bawaria Kalan, Bhopal",Ready to Move
2.0,3800000.0,997,"d Vihar, Bhopal",Ready to Move
3.0,5000000.0,1550,"Sagar Premium Towers, Sagar Premium Towers, Kolar Road Janki Nagar, Bhopal",Ready to Move
5.0,24000000.0,3500,Bawadiya Kalan Bhopal,Ready to Move
4.0,16000000.0,1265,Rohit nagar Bhopal,Ready to Move
2.0,2200000.0,800,"Bhanpur, Bhopal",Ready to Move
1.0,2000000.0,320,"Lalghati, Bhopal",Ready to Move
2.0,3000000.0,850,"Fortune Pride, Fortune Pride, Trilanga, Bhopal",Ready to Move
2.0,2500000.0,1000,"t, Bhopal",Ready to Move
2.0,2850000.0,780,"g Valley Dew, Katara Hills, Bhopal",Ready to Move
3.0,5000000.0,1000,Ashoka Garden Bhopal,Ready to Move
4.0,10000000.0,1276,Awadhpuri Bhopal,Ready to Move
5.0,1500000.0,5000,Neelbad Bhopal,Ready to Move
3.0,3900000.0,1690,"Aryavrat British Park, Aryavrat British Park, Hoshangabad Road, Bhopal",Ready to Move
2.0,6500000.0,625,Bawadiya Kalan Bhopal,Ready to Move
4.0,4290000.0,1750,Anandnagar Colony Bhopal,Unknown
2.0,4800000.0,1950,Suraj Nagar Bhopal,Ready to Move
5.0,8500000.0,1770,Neelbad Bhopal,Ready to Move
3.0,5190000.0,1300,"RKN Nakshatra Township, RKN Nakshatra Township, Awadhpuri, Bhopal",Ready to Move
3.0,9500000.0,2368,"e, Kolar Road Bhopal",Ready to Move
1.0,3800000.0,775,"Aamra Green, Kolar Road Bhopal",Ready to Move
4.0,8290000.000000001,2215,"Bhojpal Shree Krishna Heights, Bhojpal Shree Krishna Heights, Katara Hills, Bhopal",Ready to Move
3.0,7000000.0,1550,"Hills View Bungalow, Chunabhatti Bhopal",Ready to Move
2.0,4000000.0,1200,ANSHUL VIHAR COLONY Bhopal,Ready to Move
3.0,3670000.0000000005,3,Green Park Colony Bhopal,Unknown
2.0,1350000.0,600,"Gopal Nagar, Bhopal",Unknown
2.0,1900000.0,700,"Saket Nagar, Bhopal",Ready to Move
1.0,2000000.0,340,"Rachna Nagar, Bhopal",Ready to Move
7.0,4000000.0,1800,Old City Bhopal,Ready to Move
2.0,2100000.0,910,"RRG Township, RRG Township, 11Th Mile Road, Bhopal",Ready to Move
3.0,5500000.0,1180,"Sagar Premium Towers, Sagar Premium Towers, Kolar Road Janki Nagar, Bhopal",Ready to Move
2.0,6200000.0,800,Gopal Nagar Bhopal,Ready to Move
3.0,4500000.0,1349,"Nikhil Bungalows, Nikhil Bungalows, Hoshangabad Road, Bhopal",Ready to Move
2.0,3700000.0,730,"ship, Salaiya, Bhopal",Ready to Move
