title,price,area_info
"4 BHK Villa for Sale in Mukund Majesty Phase A 1, Salaiya Bhopal","₹
99 Lac
₹5,946 per sqft","SUPER AREA
1665 sqft
UNDER CONSTRUCTION
Poss. by Sep '27
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Mukund Majesty Phase A 1
CAR PARKING
1 Covered"
"4 BHK Apartment for Sale in Chetanya Grandeur Heights, Bawadiya Kalan Bhopal","₹
1.25 Cr
₹5,208 per sqft","SUPER AREA
2400 sqft
UNDER CONSTRUCTION
Poss. by May '26
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Chetanya Grandeur Heights
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Shilpi Eco Towers, Bawadiya Kalan Bhopal","₹
1.55 Cr
₹7,315 per sqft","SUPER AREA
2119 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Shilpi Eco Towers
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Aryavrat British Park, Hoshangabad Road Bhopal","₹
47.3 Lac
₹2,336 per sqft","SUPER AREA
2025 sqft
STATUS
Ready to Move
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Aryavrat British Park
BATHROOM
3"
"3 BHK Villa for Sale in Regal Royal Garden, Awadhpuri Bhopal","₹
1.34 Cr
₹6,768 per sqft","SUPER AREA
1980 sqft
UNDER CONSTRUCTION
Poss. by Dec '27
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Regal Royal Garden
CAR PARKING
1 Covered"
"3 BHK Apartment for Sale in Dream Heights, Bawadiya Kalan Bhopal","₹
70 Lac
₹5,460 per sqft","SUPER AREA
1282 sqft
UNDER CONSTRUCTION
Poss. by Jun '26
TRANSACTION
New Property
FURNISHING
Unfurnished
SOCIETY
Dream Heights
CAR PARKING
1 Covered"
"Plot/Land for Sale in Sage Sun Villas Phase I, Katara Hills Bhopal","₹
2.60 Cr
₹4,000 per sqft","PLOT AREA
6500 sqft
TRANSACTION
New Property"
3 BHK Apartment for Sale in Salaiya Bhopal,"₹
90 Lac
₹3,871 per sqft","CARPET AREA
1472 sqft
UNDER CONSTRUCTION
Poss. by Jul '28
FLOOR
1 out of 10"
Shop for Sale in Kolar Road Bhopal,"₹
50 Lac
₹25,000 per sqft","CARPET AREA
190 sqft
STATUS
Ready to Move
FLOOR
Ground out of 3"
Plot/Land for Sale in Katara Hills Bhopal,"₹
1.25 Cr
₹641 per sqft","PLOT AREA
2166 sqyrd
DIMENSIONS (L X B)
60.17 X 36
TRANSACTION
Resale"
