bhk,area,furnishing,car_parking,bathroom,price,address
4,2385,Unfurnished,,3,22599999,Bangalore
4,2102,Unfurnished,,4,31500000,Bangalore
3,1900,Unfurnished,,2,22900000,Bangalore
3,2099,Unfurnished,,5,25600000,Bangalore
3,1900,Unfurnished,,2,22900000,Bangalore
3,3372,Unfurnished,,3,82500000,Bangalore
4,2065,Unfurnished,,4,25400000,Bangalore
4,2225,Unfurnished,,4,49600000,Bangalore
4,3340,Unfurnished,1,4,37800000,Bangalore
3,1350,Unfurnished,,2,13700000,Bangalore
3,1563,Unfurnished,1,3,16500000,Bangalore
5,6444,Unfurnished,,5,264200000,Bangalore
1,916,Unfurnished,,1,9100000,Bangalore
3,2244,Unfurnished,,3,27100000,Bangalore
3,2244,Unfurnished,,3,27100000,Bangalore
5,2536,Unfurnished,,5,61000000,Bangalore
1,916,Unfurnished,,1,9100000,Bangalore
3,2010,Unfurnished,,3,27200000,Bangalore
3,5148,Unfurnished,,3,71500000,Bangalore
3,1666,Unfurnished,,3,17400000,Bangalore
3,3200,Unfurnished,1,3,77700000,Bangalore
4,2476,Unfurnished,,4,33900000,Bangalore
3,1803,Unfurnished,,3,18800000,Bangalore
3,1864,Unfurnished,,3,22200000,Bangalore
4,2500,Unfurnished,,4,45000000,Bangalore
3,1574,Unfurnished,,3,14600000,Bangalore
3,3009,Unfurnished,1,4,38400000,Bangalore
3,3549,Unfurnished,,4,145500000,Bangalore
5,3950,Unfurnished,1,5,39800000,Bangalore
4,5000,Unfurnished,1,6,95000000,Bangalore
4,1715,Unfurnished,,2,16100000,Bangalore
3,1812,Unfurnished,,3,24800000,Bangalore
3,1670,Unfurnished,,3,18300000,Bangalore
3,1737,Unfurnished,,3,19800000,Bangalore
3,1600,Unfurnished,,3,16900000,Bangalore
3,1943,Unfurnished,,3,27100000,Bangalore
3,1639,Unfurnished,,3,42400000,Bangalore
4,1632,Unfurnished,,4,38900000,Bangalore
4,1651,Unfurnished,,5,29300000,Bangalore
4,2500,Unfurnished,,4,45000000,Bangalore
3,1518,Unfurnished,,3,16000000,Bangalore
4,4220,Unfurnished,1,4,41600000,Bangalore
4,2145,Unfurnished,,4,23400000,Bangalore
3,1962,Unfurnished,,3,22300000,Bangalore
4,3015,Unfurnished,1,3,28000000,Bangalore
3,991,Unfurnished,,3,13700000,Bangalore
3,1658,Unfurnished,,3,32599999,Bangalore
3,1950,Unfurnished,,3,19900000,Bangalore
4,3210,Unfurnished,,5,53900000,Bangalore
3,1830,Unfurnished,,3,17900000,Bangalore
3,1789,Unfurnished,,3,27599999,Bangalore
3,1595,Unfurnished,,2,16200000,Bangalore
4,2428,Unfurnished,1,4,68700000,Bangalore
3,1430,Unfurnished,,3,14100000,Bangalore
5,6420,Unfurnished,1,5,105500000,Bangalore
4,3119,Unfurnished,,5,51700000,Bangalore
4,4065,Unfurnished,1,4,62400000,Bangalore
3,1965,Unfurnished,,3,22700000,Bangalore
3,1610,Unfurnished,,3,21000000,Bangalore
2,1561,Unfurnished,,2,17700000,Bangalore
3,1700,Unfurnished,,3,23900000,Bangalore
3,2210,Unfurnished,,3,19900000,Bangalore
3,2700,Unfurnished,,4,39200000,Bangalore
3,1705,Unfurnished,,3,28100000,Bangalore
3,1610,Unfurnished,,3,15400000,Bangalore
4,2852,Unfurnished,,3,85800000,Bangalore
5,3950,Unfurnished,1,5,39800000,Bangalore
4,4131,Unfurnished,,3,46200000,Bangalore
3,1563,Unfurnished,,3,17200000,Bangalore
4,2515,Unfurnished,,4,58300000,Bangalore
4,2674,Unfurnished,,4,25500000,Bangalore
,468,Unfurnished,1,1,6740000,Bangalore
2,1469,Unfurnished,,2,21000000,Bangalore
4,2244,Unfurnished,,4,30400000,Bangalore
3,1499,Unfurnished,,2,28500000,Bangalore
4,2278,Unfurnished,,4,26600000,Bangalore
4,1843,Unfurnished,,4,19900000,Bangalore
5,5400,Unfurnished,,5,67500000,Bangalore
3,1803,Unfurnished,,3,19500000,Bangalore
4,3400,Unfurnished,1,4,44500000,Bangalore
4,3344,Unfurnished,1,,67000000,Bangalore
3,2202,Unfurnished,,4,40800000,Bangalore
4,3490,Unfurnished,1,4,51500000,Bangalore
3,2730,Unfurnished,,4,40100000,Bangalore
3,1236,Unfurnished,,3,23400000,Bangalore
5,4113,Unfurnished,1,5,48099999,Bangalore
4,3000,Unfurnished,,4,66900000,Bangalore
3,1750,Unfurnished,,3,19000000,Bangalore
4,2100,Unfurnished,1,4,30000000,Bangalore
3,1590,Unfurnished,,3,10800000,Bangalore
3,1915,Unfurnished,,3,28000000,Bangalore
4,4087,Unfurnished,1,4,67800000,Bangalore
3,1906,Unfurnished,,3,21300000,Bangalore
2,1324,Unfurnished,,2,13899999,Bangalore
3,1514,Unfurnished,,2,9840000,Bangalore
4,2480,Unfurnished,,3,34800000,Bangalore
4,4095,Unfurnished,,3,46400000,Bangalore
4,1759,Unfurnished,,4,28900000,Bangalore
5,2725,Unfurnished,1,5,50300000,Bangalore
4,2786,Unfurnished,,3,32000000,Bangalore
2,1350,Unfurnished,,,14800000,Bangalore
3,1685,Unfurnished,,3,18800000,Bangalore
2,1358,Unfurnished,,2,15200000,Bangalore
3,2000,Unfurnished,1,4,17900000,Bangalore
6,11,Unfurnished,1,6,256900000,Bangalore
4,2428,Unfurnished,1,4,68700000,Bangalore
4,4400,Unfurnished,1,4,47600000,Bangalore
4,4286,Unfurnished,1,4,59500000,Bangalore
3,1443,Unfurnished,,2,19400000,Bangalore
4,2086,Unfurnished,,3,16800000,Bangalore
4,2500,Unfurnished,,4,45000000,Bangalore
3,1936,Unfurnished,,3,22500000,Bangalore
3,2145,Unfurnished,,3,16900000,Bangalore
3,2010,Unfurnished,,3,27200000,Bangalore
3,1900,Unfurnished,,2,22900000,Bangalore
4,4129,Unfurnished,1,4,63000000,Bangalore
4,2809,Unfurnished,,4,30700000,Bangalore
4,4131,Unfurnished,,3,46200000,Bangalore
4,6000,Unfurnished,1,4,119500000,Bangalore
4,2244,Unfurnished,,3,30400000,Bangalore
4,3363,Unfurnished,1,4,49700000,Bangalore
3,1525,Unfurnished,,3,11800000,Bangalore
3,1626,Unfurnished,1,3,26900000,Bangalore
3,1685,Unfurnished,,3,15900000,Bangalore
3,1690,Unfurnished,,2,13899999,Bangalore
3,1711,Unfurnished,,3,14600000,Bangalore
4,2476,Unfurnished,,4,33900000,Bangalore
3,1562,Unfurnished,,3,10600000,Bangalore
3,2213,Unfurnished,,3,37100000,Bangalore
4,2362,Unfurnished,,4,26300000,Bangalore
3,2492,Unfurnished,,4,35000000,Bangalore
5,3950,Unfurnished,1,5,39800000,Bangalore
4,1843,Unfurnished,,4,19900000,Bangalore
4,1843,Unfurnished,,4,19900000,Bangalore
3,1276,Unfurnished,,4,23300000,Bangalore
4,4200,Unfurnished,1,4,80000000,Bangalore
4,2500,Unfurnished,,4,45000000,Bangalore
3,1749,Unfurnished,,3,29600000,Bangalore
4,3300,Unfurnished,1,3,38900000,Bangalore
4,3490,Unfurnished,1,4,51500000,Bangalore
4,3032,Unfurnished,1,4,49300000,Bangalore
3,1782,Unfurnished,,4,19800000,Bangalore
3,1843,Unfurnished,,3,21700000,Bangalore
3,1789,Unfurnished,,3,27599999,Bangalore
3,1781,Unfurnished,,3,13799999,Bangalore
4,1759,Unfurnished,,4,28900000,Bangalore
4,2000,Unfurnished,,4,26000000,Bangalore
3,2242,Unfurnished,,3,35400000,Bangalore
3,1610,Unfurnished,1,3,15900000,Bangalore
4,2567,Unfurnished,1,4,44300000,Bangalore
4,1507,Unfurnished,1,4,18600000,Pune
4,1909,Unfurnished,1,5,22200000,Pune
2,725,Unfurnished,,2,8120000,Pune
4,2059,Unfurnished,,4,34500000,Pune
3,1084,Unfurnished,,3,14300000,Pune
2,877,Unfurnished,,2,12600000,Pune
2,796,Unfurnished,,2,10900000,Pune
3,1149,Unfurnished,,3,16500000,Pune
2,715,Unfurnished,,2,4860000,Pune
,184,Unfurnished,1,1,3000000,Pune
5,3673,Unfurnished,,5,78400000,Pune
3,1213,Unfurnished,,3,17500000,Pune
2,700,Unfurnished,,2,8700000,Pune
3,1152,Unfurnished,,3,13200000,Pune
3,1131,Unfurnished,,3,15000000,Pune
3,941,Unfurnished,,3,8090000,Pune
3,1596,Unfurnished,,3,20400000,Pune
3,946,Unfurnished,,3,8930000,Pune
4,1428,Unfurnished,,4,19400000,Pune
2,643,Unfurnished,,2,14300000,Pune
2,755,Unfurnished,,2,9730000,Pune
3,1126,Unfurnished,,3,12900000,Pune
3,1415,Unfurnished,,3,17500000,Pune
4,2050,Unfurnished,,4,40000000,Pune
4,1608,Unfurnished,,4,26200000,Pune
4,3000,Unfurnished,,4,75000000,Pune
2,1270,Unfurnished,,2,21300000,Pune
3,1059,Unfurnished,,3,14100000,Pune
4,1750,Unfurnished,,4,20400000,Pune
2,840,Unfurnished,,2,11000000,Pune
4,1223,Unfurnished,,4,15900000,Pune
3,1041,Unfurnished,,2,9450000,Pune
4,1700,Unfurnished,,3,20900000,Pune
3,978,Unfurnished,,3,10400000,Pune
2,804,Unfurnished,,2,9530000,Pune
